City_ID,City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Rain inches (last 3 hrs),Snow inches (last 3 hrs)
245,245,Sao Miguel Do Araguaia,BR,-13.28,-50.16,82.42,58,52,8.63,0.69,0.0
246,246,Zeerust,ZA,-25.54,26.07,69.8,64,100,20.8,1.75,0.0
247,247,Sao Filipe,CV,14.9,-24.5,74.84,82,74,18.21,0.0,0.0
248,248,Soyo,AO,-6.13,12.37,80.6,88,40,3.51,0.0,0.0
249,249,Bandarbeyla,SO,9.49,50.81,79.36,74,56,14.05,0.19,0.0
251,251,Manuk Mangkaw,PH,4.8,119.85,80.74,82,37,7.87,0.0,0.0
256,256,Hualmay,PE,-11.1,-77.61,71.19,61,0,8.97,0.0,0.0
257,257,Salalah,OM,17.01,54.1,78.8,61,20,6.93,0.0,0.0
258,258,Mao,DO,19.55,-71.08,89.6,52,20,5.82,0.0,0.0
262,262,Haapiti,PF,-17.57,-149.87,84.2,66,75,4.7,0.0,0.0
266,266,Taoudenni,ML,22.68,-3.98,68.56,21,0,7.78,0.0,0.0
267,267,Punta De Bombon,PE,-17.17,-71.79,63.19,79,81,5.41,0.0,0.0
268,268,Cabatuan,PH,16.95,121.67,70.21,95,82,0.09,0.0,0.0
271,271,Mtwara,TZ,-10.28,40.18,77.0,88,20,9.17,0.0,0.0
272,272,Rundu,,-17.91,19.77,77.0,53,100,10.29,0.56,0.0
273,273,Constitucion,MX,23.99,-104.67,78.8,24,40,5.82,0.0,0.0
275,275,Sinnamary,GF,5.38,-52.96,81.97,84,60,14.81,0.0,0.0
276,276,Khani,GE,41.96,42.96,62.6,33,0,12.75,0.0,0.0
277,277,Nakhon Sawan,TH,15.7,100.13,70.07,92,33,1.92,0.0,0.0
278,278,Henties Bay,,-22.12,14.28,60.01,91,31,9.04,0.0,0.0
279,279,Cidreira,BR,-30.17,-50.22,69.82,86,100,17.92,0.94,0.0
280,280,Sola,TZ,-3.17,33.8,72.93,66,84,2.95,0.0,0.0
281,281,Iquitos,PE,-3.75,-73.25,89.6,62,75,5.82,0.0,0.0
284,284,Harper,US,30.3,-99.24,69.01,72,90,14.99,0.0,0.0
285,285,Tabuk,PH,17.41,121.44,69.57,96,10,4.52,0.0,0.0
287,287,Awash,ET,8.99,40.17,73.33,45,0,9.44,0.0,0.0
290,290,Garissa,KE,-0.46,39.64,80.6,69,100,16.2,0.0,0.0
292,292,Mogadishu,SO,2.04,45.34,82.92,75,100,13.71,2.75,0.0
294,294,Inhambane,MZ,-23.87,35.38,74.97,79,35,14.5,0.0,0.0
295,295,Paranapanema,BR,-23.39,-48.72,71.98,87,83,3.94,3.75,0.0
296,296,Santo Domingo,DO,18.48,-69.94,89.6,70,40,11.41,0.0,0.0
298,298,Cervo,BR,-22.19,-46.24,73.4,64,100,2.1,2.44,0.0
301,301,Luanda,AO,-8.83,13.24,80.6,78,40,4.7,0.0,0.0
303,303,Matamoros,US,25.87,-97.51,78.8,54,90,10.29,0.0,0.0
304,304,Orangeburg,US,33.49,-80.86,66.2,31,1,4.7,0.0,0.0
306,306,Nortelandia,BR,-14.45,-56.8,72.09,88,100,9.4,3.06,0.0
318,318,Rosarito,CO,4.91,-75.23,80.6,77,75,6.93,0.0,0.0
319,319,Ponta Do Sol,BR,-20.63,-46.0,78.24,64,100,4.03,0.0,0.0
322,322,Ankpa,NG,7.37,7.63,74.35,92,100,5.95,0.0,0.0
325,325,Tezu,IN,27.93,96.16,63.7,98,100,1.21,2.0,0.0
326,326,Agua Dulce,MX,18.14,-94.15,78.8,83,90,11.41,0.0,0.0
330,330,Amahai,ID,-3.31,129.0,81.0,87,100,5.99,2.06,0.0
331,331,Mareeba,AU,-16.99,145.42,71.6,83,40,8.05,0.0,0.0
332,332,Sulangan,PH,11.14,123.72,82.24,74,100,12.01,0.0,0.0
333,333,Sucua,EC,-2.46,-78.17,80.6,61,40,9.17,0.0,0.0
334,334,La Asuncion,AR,-26.05,-65.39,67.1,73,100,4.03,1.5,0.0
335,335,Sabha,LY,27.03,14.43,73.04,34,78,12.57,0.0,0.0
338,338,Luderitz,,-26.65,15.16,62.6,88,0,4.7,0.0,0.0
341,341,Sungaipenuh,ID,-2.08,101.38,63.77,97,100,1.72,3.75,0.0
343,343,Tocopilla,CL,-22.09,-70.2,71.65,22,67,8.63,0.0,0.0
344,344,Adrar,DZ,27.87,-0.29,62.6,29,0,4.7,0.0,0.0
345,345,Ormond Beach,US,29.29,-81.06,78.01,56,40,9.17,0.0,0.0
346,346,Malindi,KE,-3.22,40.12,80.6,83,40,5.77,0.0,0.0
347,347,Alta Floresta,BR,-9.87,-56.08,81.95,68,100,3.22,0.0,0.0
348,348,Zwedru,LR,6.07,-8.13,75.11,86,65,2.98,0.0,0.0
350,350,Vila Franca Do Campo,PT,37.72,-25.43,64.4,77,75,8.05,0.0,0.0
352,352,Morondava,MG,-20.3,44.28,77.74,62,0,3.51,0.0,0.0
354,354,North Bend,US,43.41,-124.22,63.0,82,1,4.7,0.0,0.0
357,357,Machaneng,BW,-23.19,27.49,74.25,71,100,2.04,0.0,0.0
360,360,Nouadhibou,MR,20.93,-17.03,68.0,72,0,13.87,0.0,0.0
361,361,Naze,NG,5.43,7.07,73.4,100,75,0.78,0.0,0.0
364,364,Vila Velha,BR,-3.71,-38.6,86.0,62,85,12.75,0.0,0.0
365,365,Port Shepstone,ZA,-30.74,30.45,64.58,97,100,15.93,4.81,0.0
366,366,Nioro,GM,13.79,-15.05,89.53,19,100,8.48,0.0,0.0
367,367,Chicama,PE,-7.84,-79.15,68.0,72,20,11.41,0.0,0.0
368,368,Villa Rica,CO,3.18,-76.46,86.0,51,40,12.75,0.0,0.0
369,369,Mubi,NG,10.27,13.26,78.75,34,56,2.84,0.0,0.0
370,370,Taltal,CL,-25.41,-70.49,62.01,71,0,5.44,0.0,0.0
374,374,Coos Bay,US,43.37,-124.22,63.0,82,1,4.7,0.0,0.0
375,375,Texarkana,US,33.44,-94.04,73.0,43,1,8.05,0.0,0.0
376,376,Jacala,MX,21.0,-99.19,68.38,76,89,4.88,0.0,0.0
377,377,Rock Sound,BS,24.9,-76.2,76.41,71,0,21.68,0.13,0.0
379,379,Tessalit,ML,20.2,1.01,76.12,12,99,11.65,0.0,0.0
381,381,Sampit,ID,-2.54,112.95,74.77,93,0,0.47,0.0,0.0
382,382,Comodoro Rivadavia,AR,-45.87,-67.48,60.8,55,20,27.51,0.0,0.0
383,383,Guerrero Negro,MX,27.97,-114.04,76.05,47,99,11.92,0.0,0.0
384,384,Labuhan,ID,-2.54,115.51,72.93,89,0,1.3,0.0,0.0
387,387,Denpasar,ID,-8.65,115.22,73.54,89,47,3.36,0.0,0.0
389,389,Wamba,CD,2.14,27.99,69.08,93,100,3.47,0.13,0.0
396,396,Nanning,CN,22.83,108.3,60.8,87,100,1.88,0.0,0.0
398,398,Danielskuil,ZA,-28.19,23.54,61.61,27,0,8.05,0.0,0.0
401,401,Banda,IN,28.24,80.11,65.37,36,0,6.26,0.0,0.0
402,402,Pontianak,ID,-0.02,109.34,75.04,94,27,0.27,0.13,0.0
407,407,Cananeia,BR,-25.01,-47.93,71.73,97,100,2.21,0.56,0.0
408,408,Broken Hill,AU,-31.97,141.45,67.69,25,0,12.84,0.0,0.0
411,411,Siloam Springs,US,36.19,-94.54,72.0,53,1,12.75,0.0,0.0
412,412,Pathanamthitta,IN,9.27,76.79,68.65,95,68,2.26,0.56,0.0
414,414,Ballitoville,ZA,-29.54,31.21,66.2,93,75,14.99,0.0,0.0
415,415,Bundaberg,AU,-24.87,152.35,70.0,67,0,6.93,0.0,0.0
416,416,Yarada,IN,17.65,83.27,81.25,70,31,4.63,0.0,0.0
418,418,Kasamwa,TZ,-2.84,32.42,68.05,86,88,2.77,3.56,0.0
419,419,Cayenne,GF,4.94,-52.33,86.0,70,78,13.87,0.0,0.0
420,420,Pindiga,NG,9.98,10.93,80.92,37,68,0.98,0.0,0.0
421,421,Puerto Leguizamo,CO,-0.19,-74.78,84.24,74,92,3.4,0.81,0.0
424,424,Pacifica,US,37.61,-122.49,75.0,63,1,6.08,0.0,0.0
425,425,Port Blair,IN,11.67,92.75,81.43,70,0,0.49,0.0,0.0
426,426,Palembang,ID,-2.99,104.76,75.74,89,70,2.21,0.0,0.0
427,427,Richards Bay,ZA,-28.77,32.06,70.72,92,100,23.26,12.63,0.0
428,428,Bathsheba,BB,13.22,-59.52,80.6,83,40,14.99,0.0,0.0
429,429,Gagnoa,CI,6.13,-5.95,73.42,94,20,1.54,0.44,0.0
430,430,Jacksonville,US,30.33,-81.66,73.0,40,1,6.93,0.0,0.0
431,431,Meulaboh,ID,4.14,96.13,79.47,79,100,5.48,3.63,0.0
432,432,Antalaha,MG,-14.9,50.28,78.01,74,100,10.16,0.0,0.0
433,433,Kitgum,UG,3.3,32.88,70.34,74,51,1.25,0.0,0.0
436,436,Moba,CD,-7.04,29.77,80.17,71,82,6.69,0.0,0.0
437,437,Roebourne,AU,-20.77,117.15,73.83,31,0,7.92,0.0,0.0
438,438,Arica,CL,-18.48,-70.32,69.8,64,73,11.41,0.0,0.0
